id;name;created_at;updated_at
1;Virtual;2023-02-22T01:04:29;2023-02-21T23:08:38
2;Leone 3rd New;2023-02-22T12:04:18;2023-02-22T17:36:46
3;metrics;2023-02-22T12:07:32;2023-02-21T23:13:54
4;capability;2023-02-21T21:22:09;2023-02-22T18:17:48
5;Tasty;2023-02-21T22:17:57;2023-02-22T08:13:26
6;Hat;2023-02-22T04:16:23;2023-02-22T12:47:52
7;Wisconsin;2023-02-22T06:03:27;2023-02-22T11:30:30
8;Specialist Avon Account;2023-02-22T12:47:25;2023-02-22T10:53:51
9;Sleek;2023-02-22T02:00:26;2023-02-22T08:01:45
10;bypassing;2023-02-22T07:05:37;2023-02-22T07:57:55
