id;title;start_date;end_date;status;priority;progress;description;created_at;updated_at
1;withdrawal Avon rich;2023-02-21T19:14:21;2023-02-22T02:59:04;OVER_DUE;HIGH;B;Web Chair;2023-02-21T18:42:32;2023-02-22T17:57:55
2;Baby bifurcated;2023-02-21T23:07:17;2023-02-22T11:45:21;OFF_TRACK;HIGH;E;Central circuit;2023-02-22T00:07:44;2023-02-21T23:20:29
3;Designer Pakistan Licensed;2023-02-21T19:05:06;2023-02-22T14:13:47;OFF_TRACK;HIGH;E;Clothing copying back-end;2023-02-21T22:11:35;2023-02-22T18:22:14
4;Shilling Movies;2023-02-22T00:43:55;2023-02-22T16:34:13;OFF_TRACK;MEDIUM;A;recontextualize Fantastic Re-contextualized;2023-02-22T13:01:33;2023-02-21T22:14:37
5;Industrial architectures Plastic;2023-02-21T19:03:17;2023-02-22T12:13:40;OFF_TRACK;LOW;B;Valley Chips methodical;2023-02-22T00:27:50;2023-02-22T07:53:43
6;withdrawal Concrete Florida;2023-02-22T02:58:00;2023-02-22T12:14:42;OVER_DUE;HIGH;E;compressing Rubber;2023-02-21T19:29:34;2023-02-22T05:17:16
7;payment Vision-oriented;2023-02-22T09:15:38;2023-02-22T02:21:10;COMPLETED;MEDIUM;A;Shirt;2023-02-22T00:36:16;2023-02-22T09:52:31
8;Plastic Qatar card;2023-02-22T11:21:02;2023-02-22T14:00:34;OVER_DUE;HIGH;B;Facilitator definition;2023-02-22T07:22:24;2023-02-22T02:25:19
9;Accountability withdrawal;2023-02-22T03:54:41;2023-02-22T08:29:12;ON_TRACK;MEDIUM;C;Designer coherent;2023-02-22T11:33:24;2023-02-22T15:29:20
10;Hampshire auxiliary;2023-02-22T10:59:53;2023-02-22T15:37:58;OVER_DUE;LOW;A;Orchestrator;2023-02-22T01:40:48;2023-02-22T10:05:01
