id;comment;status;created_at;updated_at
1;Designer;COMPLETED;2023-02-22T12:10:56;2023-02-22T16:08:10
2;Central;OVER_DUE;2023-02-22T18:16:44;2023-02-22T05:36:23
3;Adaptive;COMPLETED;2023-02-22T18:01:08;2023-02-21T21:39:59
4;transmit;OFF_TRACK;2023-02-21T19:27:47;2023-02-21T22:33:14
5;Implementation relationships one-to-one;OVER_DUE;2023-02-21T20:22:22;2023-02-22T18:05:49
6;1080p Coordinator hack;COMPLETED;2023-02-22T02:06:01;2023-02-22T07:51:04
7;Computer;OFF_TRACK;2023-02-22T13:17:16;2023-02-22T12:52:09
8;alarm blue;COMPLETED;2023-02-22T05:30:00;2023-02-21T20:45:40
9;Tuna;OFF_TRACK;2023-02-21T22:42:36;2023-02-22T09:17:21
10;Future Jewelery;COMPLETED;2023-02-21T20:56:37;2023-02-22T13:45:39
